id,language,script,region,query_text,normalized_query,intent,related_ticker,expected_response_type,source,license,consent_status,created_at,reviewer_notes
IFQ-0001,en,Latin,India,What is the current price of TCS,current price TCS,stock_price_query,TCS.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0002,en,Latin,India,Show me Reliance share price today,Reliance share price today,stock_price_query,RELIANCE.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0003,en,Latin,India,Find latest Infosys stock quote,latest Infosys stock quote,stock_price_query,INFY.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0004,hi,Devanagari,India,TCS का आज का भाव क्या है,TCS आज भाव,stock_price_query,TCS.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0005,hi,Devanagari,India,रिलायंस शेयर की कीमत बताइए,रिलायंस शेयर कीमत,stock_price_query,RELIANCE.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0006,hi,Devanagari,India,इन्फोसिस का लाइव रेट दिखाइए,इन्फोसिस लाइव रेट,stock_price_query,INFY.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0007,or,Odia,Odisha,TCS ର ଆଜିର ଦାମ କେତେ,TCS ଆଜି ଦାମ,stock_price_query,TCS.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0008,or,Odia,Odisha,ରିଲାୟନ୍ସ ସେୟାର ମୂଲ୍ୟ କହନ୍ତୁ,ରିଲାୟନ୍ସ ସେୟାର ମୂଲ୍ୟ,stock_price_query,RELIANCE.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0009,or,Odia,Odisha,ଇନଫୋସିସ ଷ୍ଟକ କୋଟ ଦେଖାନ୍ତୁ,ଇନଫୋସିସ ଷ୍ଟକ କୋଟ,stock_price_query,INFY.NS,price_snapshot,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0010,en,Latin,India,Can you predict Reliance for tomorrow,predict Reliance tomorrow,stock_prediction_query,RELIANCE.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0011,en,Latin,India,Forecast TCS next trading day,forecast TCS next trading day,stock_prediction_query,TCS.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0012,en,Latin,India,Will HDFC Bank go up this week,will HDFC Bank go up week,stock_prediction_query,HDFCBANK.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0013,hi,Devanagari,India,रिलायंस का कल का अनुमान बताइए,रिलायंस कल अनुमान,stock_prediction_query,RELIANCE.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0014,hi,Devanagari,India,TCS अगले दिन बढ़ेगा या घटेगा,TCS अगले दिन बढ़ेगा घटेगा,stock_prediction_query,TCS.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0015,hi,Devanagari,India,HDFC बैंक का साप्ताहिक पूर्वानुमान चाहिए,HDFC बैंक साप्ताहिक पूर्वानुमान,stock_prediction_query,HDFCBANK.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0016,or,Odia,Odisha,ରିଲାୟନ୍ସ କାଲି ବଢିବ କି,ରିଲାୟନ୍ସ କାଲି ବଢିବ,stock_prediction_query,RELIANCE.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0017,or,Odia,Odisha,TCS ପରବର୍ତ୍ତୀ ଦିନ ଅନୁମାନ କରନ୍ତୁ,TCS ପରବର୍ତ୍ତୀ ଦିନ ଅନୁମାନ,stock_prediction_query,TCS.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0018,or,Odia,Odisha,HDFC ବ୍ୟାଙ୍କ ଏହି ସପ୍ତାହରେ କେମିତି ହେବ,HDFC ବ୍ୟାଙ୍କ ସପ୍ତାହ ଅନୁମାନ,stock_prediction_query,HDFCBANK.NS,prediction_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0019,en,Latin,India,Summarize Infosys business and sector,summarize Infosys business sector,company_summary,INFY.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0020,en,Latin,India,Tell me what Reliance Industries does,what Reliance Industries does,company_summary,RELIANCE.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0021,en,Latin,India,Give company profile for Tata Motors,company profile Tata Motors,company_summary,TATAMOTORS.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0022,hi,Devanagari,India,इन्फोसिस कंपनी किस सेक्टर में है,इन्फोसिस कंपनी सेक्टर,company_summary,INFY.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0023,hi,Devanagari,India,रिलायंस कंपनी का कारोबार समझाइए,रिलायंस कंपनी कारोबार,company_summary,RELIANCE.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0024,hi,Devanagari,India,टाटा मोटर्स की कंपनी जानकारी दें,टाटा मोटर्स कंपनी जानकारी,company_summary,TATAMOTORS.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0025,or,Odia,Odisha,ଇନଫୋସିସ କମ୍ପାନୀ ବିଷୟରେ କହନ୍ତୁ,ଇନଫୋସିସ କମ୍ପାନୀ ବିଷୟ,company_summary,INFY.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0026,or,Odia,Odisha,ରିଲାୟନ୍ସ କେଉଁ ବ୍ୟବସାୟ କରେ,ରିଲାୟନ୍ସ ବ୍ୟବସାୟ,company_summary,RELIANCE.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0027,or,Odia,Odisha,ଟାଟା ମୋଟର୍ସ କମ୍ପାନୀ ପ୍ରୋଫାଇଲ ଦିଅନ୍ତୁ,ଟାଟା ମୋଟର୍ସ କମ୍ପାନୀ ପ୍ରୋଫାଇଲ,company_summary,TATAMOTORS.NS,company_profile,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0028,en,Latin,India,Add HDFC Bank to my watchlist,add HDFC Bank watchlist,watchlist_help,HDFCBANK.NS,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0029,en,Latin,India,Remove Infosys from saved stocks,remove Infosys saved stocks,watchlist_help,INFY.NS,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0030,en,Latin,India,How do I create a stock watchlist,create stock watchlist help,watchlist_help,,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0031,hi,Devanagari,India,HDFC बैंक को वॉचलिस्ट में जोड़ना है,HDFC बैंक वॉचलिस्ट जोड़ना,watchlist_help,HDFCBANK.NS,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0032,hi,Devanagari,India,इन्फोसिस को मेरी सूची से हटाइए,इन्फोसिस सूची हटाइए,watchlist_help,INFY.NS,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0033,hi,Devanagari,India,वॉचलिस्ट कैसे बनती है,वॉचलिस्ट कैसे बनती,watchlist_help,,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0034,or,Odia,Odisha,HDFC ବ୍ୟାଙ୍କକୁ ୱାଚଲିଷ୍ଟରେ ଯୋଡନ୍ତୁ,HDFC ବ୍ୟାଙ୍କ ୱାଚଲିଷ୍ଟ ଯୋଡନ୍ତୁ,watchlist_help,HDFCBANK.NS,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0035,or,Odia,Odisha,ଇନଫୋସିସକୁ ମୋ ତାଲିକାରୁ ହଟାନ୍ତୁ,ଇନଫୋସିସ ତାଲିକା ହଟାନ୍ତୁ,watchlist_help,INFY.NS,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0036,or,Odia,Odisha,ଷ୍ଟକ ୱାଚଲିଷ୍ଟ କେମିତି କରିବି,ଷ୍ଟକ ୱାଚଲିଷ୍ଟ କେମିତି,watchlist_help,,watchlist_action_help,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0037,en,Latin,India,Explain the risks before buying Tata Motors,explain risks buying Tata Motors,risk_explanation,TATAMOTORS.NS,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0038,en,Latin,India,What are downside risks for Reliance,downside risks Reliance,risk_explanation,RELIANCE.NS,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0039,en,Latin,India,Is NVDA too risky at this valuation,NVDA risky valuation,risk_explanation,NVDA,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0040,hi,Devanagari,India,टाटा मोटर्स खरीदने में क्या जोखिम हैं,टाटा मोटर्स खरीद जोखिम,risk_explanation,TATAMOTORS.NS,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0041,hi,Devanagari,India,रिलायंस में गिरावट का खतरा समझाइए,रिलायंस गिरावट खतरा,risk_explanation,RELIANCE.NS,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0042,hi,Devanagari,India,NVDA की वैल्यूएशन में जोखिम है क्या,NVDA वैल्यूएशन जोखिम,risk_explanation,NVDA,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0043,or,Odia,Odisha,ଟାଟା ମୋଟର୍ସ କିଣିବାର ଝୁକି ବୁଝାନ୍ତୁ,ଟାଟା ମୋଟର୍ସ କିଣିବା ଝୁକି,risk_explanation,TATAMOTORS.NS,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0044,or,Odia,Odisha,ରିଲାୟନ୍ସର ନିମ୍ନମୁଖୀ ଝୁକି କଣ,ରିଲାୟନ୍ସ ନିମ୍ନମୁଖୀ ଝୁକି,risk_explanation,RELIANCE.NS,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0045,or,Odia,Odisha,NVDA ମୂଲ୍ୟାୟନରେ ଝୁକି ଅଛି କି,NVDA ମୂଲ୍ୟାୟନ ଝୁକି,risk_explanation,NVDA,risk_summary,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
IFQ-0046,en,Latin,India,What does market cap mean,what market cap mean,financial_term_explanation,,education_answer,manually_created_sample_demo_corpus,repo_license,project_authored,2026-06-25,manually authored demo example
